Partners,Balance-2004,Balance-2005,Balance-2006,Balance-2007,Balance-2008,Balance-2009,Balance-2010,Balance-2011,Balance-2012,Balance-2013,Balance-2014,Balance-2015,Balance-2016,Balance-2017,Balance-2018,Balance-2019,Balance-2020,Balance-2021,Balance-2022,Balance-2023
New Zealand,66556,-73873,-291789,-349855,-495797,-542559,-483347,-846295,-805634,-745645,-759829,-866088,-696303,-800468,-1032548,-602571,-1005490,-906285,-809006,-380095
Nicaragua,9743,42772,64984,188288,148904,138225,-1414,-1445,-450,-547,-4103,14612,11637,-31477,-4503,-17536,7228,-10656,-38175,-38946
Niger,32142,33905,49658,59279,59128,30571,63945,53469,66673,54391,55031,42313,33298,46085,37418,105954,93069,96774,197314,1106
Nigeria,-2323160,-798542,-5202693,-7643105,-7604040,-9628218,-11518208,-16752944,-24027116,-26949191,-45034306,-29576414,-23975693,-17087368,-44612913,-44169050,-28599752,-25391394,-29352654,-37180411
Niue,397,-620,-1026,-309,260,-979,-649,403,-74,-576,-1191,-1370,-88,-3020,-2238,-4705,-442,-1476,1343,-1051
Norfolk Island,-51,-38,778,190,49,108,277,266,662,-3505,1267,-4452,278,4364,869,-144,5756,-1136,-721,-111
Northern Mariana Islands,122,196,201,28,-341,-1153,-583,-2488,-1758,-7509,-1353,406,0,1184,750,-14,1897,-280,164,74
Norway,-84685,-154208,-135882,249000,311298,775534,1174540,1116969,1573990,1166126,411928,627011,-658711,1075925,879004,-16656,1520222,607875,1566210,408516
Oman,140775,-603011,-1024444,-2647293,-850088,-753547,-225148,-4771018,-382599,-2489606,-4903981,-5500797,-4708392,-7297802,-14154013,-12671195,-10141559,-26877290,-42639916,-46274951
Pakistan,-9244,333917,176972,588340,758179,440777,470877,-151218,-60678,425994,1351813,1588062,3134600,8696199,10359439,9969318,9181417,14543695,7803389,1103772
Palau,0,-6,-13,0,0,0,0,22,0,0,-238,381,0,1104,0,173,-16,1033,9368,1161
"Palestine, State of",0,0,0,731,1574,1261,598,813,695,0,-2025,0,0,545,-3120,1111,0,-1018,0,3207
Panama,100023,-281834,198647,139616,37047,35829,578470,218838,395473,447802,-662953,562691,818149,1158768,1171492,795052,259402,295768,647198,-371616
Papua New Guinea,-1888,-810,-1468,23405,641,66550,91683,44668,225315,204445,95685,164420,172159,241093,232713,110428,118957,198743,225417,240089
Paraguay,-8091,-25399,-38375,-109664,-2515,-32902,-9482,-19084,21943,-1316,41758,-205795,-1533416,84799,115692,58772,-25610,2081,90714,53986
Peru,120316,93803,126818,25133,-4705,37845,360639,330472,361245,437757,216217,270025,-82452,-525477,-329551,94783,-2469,-21828,126597,363212
