Partners,Balance-2004,Balance-2005,Balance-2006,Balance-2007,Balance-2008,Balance-2009,Balance-2010,Balance-2011,Balance-2012,Balance-2013,Balance-2014,Balance-2015,Balance-2016,Balance-2017,Balance-2018,Balance-2019,Balance-2020,Balance-2021,Balance-2022,Balance-2023
British Virgin Islands,95075,128949,80163,199513,98982,-7531,-7477,-25332,172906,154991,407544,436817,692287,498895,470469,490151,725319,366301,467506,631483
Brunei Darussalam,11388,29196,11987,12679,19323,10268,10123,12353,13977,20032,22682,6900,16883,10297,-104158,-7361,11186,6184,10367,-998233
Bulgaria,-13546,-34152,38724,269806,91852,-69942,-50848,-18997,90195,-28732,-627723,-767687,-1024984,-796463,-855502,-1743139,-1935099,-1265752,-3248093,-2078026
Burkina Faso,0,60253,0,0,0,433039,213378,207132,454547,322033,266701,447751,420587,757456,517512,558795,524888,446206,587421,861471
Burundi,36437,33101,45636,26664,53280,75590,64980,39987,64407,46488,70730,64687,36566,53309,44739,63737,133708,75521,131804,97835
Cabo Verde,9282,15076,12959,6455,10035,7846,6195,7838,4678,6856,7427,9005,7606,107961,226617,578482,982219,1743778,180330,191928
Cambodia,1588,-2671,-7810,-32993,-38832,-30505,-21288,-42547,-111574,-153665,-106479,-173324,-261896,-189327,-316898,-393766,-232320,-256524,-634637,-642062
Cameroon,23807,206265,257470,308847,431915,480994,520829,548173,608896,627318,650188,583061,501251,-257377,603395,686514,699365,653701,923729,-510775
Canada,298187,-209354,-415778,291659,-4077377,-1337128,-851215,-2572615,-2232032,-1943922,2565577,-632604,568022,277652,-914605,-288664,544610,-641363,1715391,1816814
Cayman Islands,-1543,-608,8635,1271,2069,664,8695,1100,2666,3371,44724,48211,-221138,56528,52375,28217,10663,2908,10776,14985
Central African Republic,4180,8348,30967,47653,6490,19582,24174,17372,46103,32717,30423,29693,9687,5574,44173,16973,15438,48867,18408,30062
Chad,18699,33272,35854,33717,77332,59882,21813,18278,16079,43885,18589,7965,12618,34710,47135,7881,23533,17091,48002,43664
Chile,213790,95,-113872,-331726,-662806,-400328,-110158,-228445,-277659,-322023,-775473,-882285,-643015,-945241,-1516894,-638654,-1068762,-1935703,-2290512,-1476513
China,-16126487,-22638447,-31983996,-30858994,-45422964,-22021716,-24731027,-12318834,-35129019,-37877274,-72205666,-105477164,-100228622,-88468819,-112122293,-95686972,-73755485,-79997253,-173170205,-174072020
Christmas Island,-19,-44,-5679,-857,97,-415,-22,-216,-16,-19,-909,-25,-73,-53,-382,-29,-16,-15,-180,-55
Cocos (Keeling) Islands,6,-6,-201,-1573,-665,-116,-66,-345,-2617,-989,1451,-127,29,-333,-355,-1025,82,-6523,-721,-3428
Colombia,-84551,-88987,-171495,-1354403,-68652,-99933,-148879,103257,-840149,-121371,-2052562,-1627343,-458017,151744,-160694,204634,200300,-211820,-901079,-1281968
Comoros,73758,45588,54646,83990,51746,49456,87682,47594,44124,53200,42234,50038,53097,48905,50966,54283,64793,52276,45840,25012
Congo,178665,229803,401042,461655,515987,505046,442140,447196,639680,940247,1592899,996173,791036,630005,969429,726538,840285,1227674,-322191,1990421
"Congo, Democratic Republic of the",1286838,1719836,2389780,4313100,9077550,4674594,6057748,7769796,12030382,12992540,13215153,11828703,10193795,10455917,16632318,14583491,11900496,14791733,21871537,26699839
Cook Islands,-64,-823,-3010,1510,349,-232,262,-1150,-1538,2074,3486,2676,1466,12705,4384,1862,2437,1476,2309,-516
Costa Rica,-221754,-275512,-153085,-157711,-191792,-245291,-191871,-237059,-243570,-255869,-210122,-156632,-121348,-145784,-141458,-274635,-214380,-276552,-330756,-547730
Côte d'Ivoire,201006,190088,195885,261131,293605,483831,178774,527342,682545,678770,869783,491662,1322888,1253545,633756,1143426,980665,1186881,776611,2295131
Croatia,18289,30690,-262331,-319349,-230924,-238963,6107,-129229,-8735,-288442,-243803,-78931,-85471,-31184,-211450,-63131,-45136,-146216,483589,-87974
Cuba,-12259,-13430,-20924,-14576,66283,-24749,-67815,-17358,-17551,-16123,-41141,-9931,122829,39685,-36628,-14563,41228,-12870,27727,17068
Curaçao,0,0,0,0,0,0,0,31250,32159,35511,52097,48110,44773,40750,32968,58541,24661,52350,38781,30688
Cyprus,84173,31462,85540,48307,61067,39371,60417,57992,14583,45643,24490,44064,113801,23056,-37379,140507,31939,66312,58123,402342
Czech Republic,-541866,-1097465,-1160588,-1670864,-2268680,-2089870,-2618859,-2997614,-3087123,-4631587,-5021428,-5282103,-5958676,-6278393,-6889045,-8206304,-1828784,-1242359,-4530337,-5552867
Denmark,-417652,-365954,-325659,-610410,-516117,-880111,-857476,-482531,-1394165,-3086108,-2353420,-3496580,-2643696,-3206580,-2513025,-4277144,-3304377,-3196570,482672,-3277439
Djibouti,38806,34816,112330,69478,121899,154266,103016,198661,288553,287145,494860,632148,770255,1261766,1454118,974702,690812,1089664,721780,1153851
Dominica,2785,-2323,114,-1271,5386,-191,2223,-288,-1145,1440,-26363,25,-264,-3060,10375,-8241,4203,6951,5454,-147
Dominican Republic,-3124,-10994,-20421,-41198,-44178,-47582,-3046,-35744,-26278,-84131,-141622,-68898,-173229,-270228,-235175,-56116,-14064,369400,-24369,-47148
Ecuador,4711,-3582,-31785,-490230,-6506,-7581,55505,705,-471060,-666335,232164,523384,86116,-12865,5991,-41914,-90796,-58858,-61677,128081
Egypt,51839,68000,-405574,256986,-8355,965505,702701,201717,126819,251221,313656,714922,2257872,767727,1265314,7996,51923,-349845,-127202,-1054339
El Salvador,2977,759,-4706,-5612,-13401,-18587,-6873,-22406,-15196,-18735,-38413,-31126,-34367,-83163,-52494,-15602,-6460,-10405,-54061,-61174
Equatorial Guinea,59771,78266,77367,78841,115985,71783,88381,101610,-544219,-2527220,-3879465,-1318239,-628007,-1124590,-271237,-264156,60083,2214,25401,-34412
Eritrea,16625,24481,28869,43214,53134,147797,201702,92643,212703,86993,118345,260512,189878,174228,188975,97612,163586,183187,89879,181403
Estonia,7643,-60354,14877,16318,14788,8236,126585,-150506,6805,-98929,-252399,-321877,93811,-130751,-92585,-186376,-106266,124344,-229970,-317022
Eswatini,-32,-272,-798,-1826,-138,-1335,5257701,4628472,2860908,3375260,3842222,2047520,1640285,874278,2105162,770862,1132019,1964497,3402318,4470401
Ethiopia,217561,152727,203669,207134,332989,267402,227954,231076,472434,669177,589689,921554,908545,765039,1512918,828566,682259,593618,223681,402932
Falkland Islands (Malvinas),-6747,-11608,-13777,-27290,-20823,-18296,-18737,-14201,-24806,-19657,-12202,-38597,-14084,-2927,-28044,-43530,-7784,-62474,-53406,-38559
Faroe Islands,-704,89,-3050,140,-31223,-1841,-612,-439,-589,-4091,-6442,-824,-1993,-891,-1659,0,245,-44,-33,-129
Fiji,20209,22399,26723,520,22227,29675,60658,23254,47191,21002,34190,33688,50313,20900,37866,113185,33754,26817,42597,18339
Finland,-2204797,-2768035,-4050485,-4516069,-4701287,-2472848,-1595523,-1247219,-2278430,-475343,-587145,-3876979,-4408465,-4465327,-4880247,-5139974,-4686051,-5068101,-6952769,-6929167
France,-12779365,-8549774,-8268309,-9113031,-8561035,-9553183,-10684207,-12956163,-12900873,-12656775,-14301748,-14991610,-22128471,-16639785,-16830088,-18445912,-16330039,-16882832,-20308914,-27352038
French Polynesia,1549,2215,2682,2079,2604,24235,20049,2625,6788,16190,7535,4160,22071,14954,24871,8920,77108,6140,7009,12294
French Southern and Antarctic Territories,1946,2747,26106,21305,560,50087,11807,37053,11720,58798,4710,51725,143669,39260,28228,11518,19804,44041,51081,160152
Gabon,-18251,-497853,-841545,140522,207367,-142696,259554,256258,339743,-671107,-626965,471951,495286,369129,358121,515683,499311,395701,647329,778161
Gambia,49816,38323,64327,44232,44592,60993,37788,55749,41409,35051,147772,43518,78657,87061,70847,70867,58334,101881,66852,184795
Georgia,55168,6734,42290,23525,6149,41486,4985,21521,251544,216900,203377,193631,166253,187359,369076,213395,55308,52320,79332,15317
Germany,-22498268,-27762056,-31109157,-29578403,-33787404,-32557995,-26713419,-37494133,-50597325,-66001839,-62294656,-54577884,-47469201,-44083344,-27091242,-18883887,11527501,42258730,28424258,-15981075
Ghana,1164685,1448824,1614352,2070839,3044989,2770979,2495604,2898297,2334617,-2208568,-3369091,4142109,4733321,3869752,-3926999,-4202265,-2041414,-1938359,4822164,3455156
Gibraltar,54835,49943,73304,84482,90019,95305,117905,120485,100107,129975,273197,277268,248867,234295,319781,537492,335512,331057,-1130,11999
Greece,150204,143398,478711,162867,1026337,111984,328674,301199,133190,-118452,-65414,-78234,106341,-377005,-477065,-381945,-42160,353859,-413691,-677469
Greenland,134,627,-13,-91,-41,-33,8410,726,8,-64656,76,-1674,0,80,-13,58,-1112,27422,262,2802
Grenada,717,1171,476,5999,1119,763,977,3437,5938,3505,4374,2778,1979,2674,17537,4142,20540,16146,131297,266243
Guam,0,0,0,0,0,0,0,0,0,0,0,190,616,-1024,118,101,720,3675,1376,2359
Guatemala,-16586,-1975,34232,695,-8323,-27071,-61839,-76695,-11254,-12292,-194293,-39726,-39702,-516310,-22475,-996,2944,56379,74386,338200
Guinea,266922,223911,239852,268773,286807,255492,102163,30804,347169,257607,275211,-475376,411002,493720,1144461,881911,1183680,659486,960070,1007154
Guinea-Bissau,3758,3462,11618,22295,14131,13701,4540,12512,6535,5752,37016,14079,15447,9672,1159,5845,5577,15423,11415,21159
Guyana,7400,3671,4740,11042,6238,3160,748003,1250196,302923,1888878,63649,13863,165345,18439,63883,273855,180708,201887,339600,450227
Haiti,3745,3646,2367,8085,12841,14083,14430,13986,70713,71436,21512,17998,19067,16031,33455,11980,17744,12206,64576,161755
Honduras,2663,918,-1415,695,2069,-2414,-6887,-1704,73649,80376,-22638,-38850,21456,-23588,8887,3320,6640,17430,197772,275293
"Hong Kong, China",705494,1244097,37296,1806315,2571030,6049915,5056188,7037602,9741990,11553951,17080922,16144821,21815090,18375968,16143667,17003720,22220915,34308040,18784171,25673571
Hungary,-1782863,-2256600,-2788080,-3842861,-2832804,-2058636,-3741749,-4599630,-3305813,-2816257,-2470650,-2788989,-2713954,-1962921,-2605597,-3036381,-2483880,-3482317,-6004589,-7118404
Iceland,37308,17158,113295,265240,47479,-16082,-26229,124030,-69200,-40188,-5121,4756,56805,6639,-196243,-1082,9829,75182,-52669,-65930
India,-889690,429030,-5562403,-3006807,142666,2124074,1367803,-4618786,-6894192,-22760105,-8527356,-12164964,771925,3261153,8139561,-2925332,-5794602,-15748331,-52776415,-44737486
Indonesia,-933848,-741415,-1563440,-2885967,-3034054,-2550370,-980307,-1582106,-2584648,-3530875,-5214368,-6088145,-6192214,-4239746,199218,-1457853,-2060973,-3997225,-10806544,-8864975
"Iran, Islamic Republic of",-14805631,-13407093,-16683542,-19224062,-25427108,-20541080,-21943961,-26171489,-9724193,116569,152102,63914,65452,887435,1447034,88677,2061,-12191,183606,272805
Iraq,113761,73936,-834231,-1442818,475330,-619775,-924095,185697,39462,55274,-4211873,-1597372,176761,79265,370761,668155,907074,843220,801374,681192
Ireland,-3040523,-2884610,-3150506,-4302746,-5176617,-3268809,-3893215,-3107946,-4281049,-4953110,-4066797,-4242463,-4337312,-4767897,-6061403,-4826413,-4700229,-3859835,-5102707,-6053872
Israel,2374231,3172230,2310160,2885735,3439848,2727278,2742427,3156957,4473805,2831747,4055234,2363993,1163509,1074674,1130874,302722,545085,629275,1851093,394011
Italy,-1590498,-2936724,-4681108,-5541458,-4369360,-4382318,-4357955,-6841098,-10007364,-15489732,-17158841,-13602025,-10668754,-15406995,-21447959,-21657527,-17934466,-20475900,-9781194,-24105896
Jamaica,-30561,-21987,-46561,306122,9556,4470,7594,6623,26147,23930,11314,17922,50694,66307,66305,56535,48750,64511,107468,78776
Japan,5462861,9072424,11858715,12573282,26258490,8314089,15785895,20773173,8831668,14344626,12036228,10845367,13293280,17865445,21411212,21689308,30648623,83123143,94346910,56155394
Jordan,230824,127297,96434,35621,-95365,82988,50484,33630,-33320,-105785,-76912,-7686,210220,388646,-141879,507038,284211,228719,67491,562733
Kazakhstan,23602,6905,-1703,121697,23817,43518,65410,59042,-1014,19907,-23299,84804,338119,94790,-153584,-46042,82831,-52881,-255535,289043
Kenya,2555009,2703111,2996053,4312896,5460561,6971296,5500960,5938896,5648822,7478189,7428580,8076393,7902435,9334546,9733899,11081957,7106805,7903683,8421174,10906912
Kiribati,6,19,228,91,0,50,1560,316,-8,759,1592,799,30894,3645,448,58,131,1018,1408,-37
